,Building,Total Profit,Total Emissions
0,31,645.9798053543419,2530.0288172841456
1,32,714.0246058688006,2968.3749931234024
2,33,1178.4069341360905,4823.189958008559
3,34,1072.6511325352922,4281.151262125582
4,35,1858.905080957151,7365.72335308944
5,36,1204.5458118192214,5083.595840269841
6,37,473.50065796673675,2010.7587535565235
7,38,712.8209340953057,2920.5341768608546
8,39,1233.3131638587874,5123.750941711679
9,40,523.3070018056768,2207.761951788416
10,41,648.2171697449568,2779.0419649666164
11,42,907.5383683410436,3750.4682626769363
12,43,1122.3985110511333,4716.369183310758
13,44,709.537317444349,2915.8931685902494
14,45,333.483184549738,1463.9038931136922
15,46,1527.3310938286238,6255.442788932884
16,47,915.1110971847977,3765.829799110754
17,48,301.54779248778436,1345.9875588240784
18,49,888.9185405717192,3641.237008701441
19,50,318.6312268751757,1372.9919740259227
20,51,879.7993052393638,3663.8204635016496
21,52,879.4193826739534,3593.759017494331
22,53,1156.6775652656077,4908.098876329457
23,54,1036.5925161298933,4230.710116173745
24,55,1425.2649771317058,5869.711542094772
25,56,2206.8540319447006,8977.21956479338
26,57,918.6246655260629,3754.7236441375803
27,58,1966.6645646101615,7840.816963865603
28,59,925.9021980955049,3829.2463186829277
29,60,230.31265401222944,1014.3011418300983
