Building,Profit,Setup
2,-210.17465859786424,cluster6
7,-33.64176389786508,cluster6
10,-185.63984823786467,cluster6
25,-299.453226607865,cluster6
6,-596.2827378599967,cluster6
16,-161.0366269000002,cluster6
17,-368.11111181999956,cluster6
21,-412.2055835700018,cluster6
5,-209.05360229786493,cluster6
11,-193.07766243786517,cluster6
12,-232.7795550514657,cluster6
13,-41.42065336786475,cluster6
19,-30.16532673,cluster6
20,-256.3630751799992,cluster6
23,-159.35406553786467,cluster6
24,155.99937148213544,cluster6
26,-379.2261962378658,cluster6
27,-211.25490086786579,cluster6
28,-119.26967464786554,cluster6
29,-174.90948469786514,cluster6
8,-615.7244323278647,cluster6
1,-24.948866679999934,cluster6
18,-312.2934125078656,cluster6
3,-12.96612280786533,cluster6
4,-175.6381930478648,cluster6
9,-134.8869673578646,cluster6
14,-132.17347854786533,cluster6
15,-107.40267707786461,cluster6
22,-157.441856357865,cluster6
30,-101.84494658786524,cluster6
