Building,Profit,Setup
7,-32.98025289999993,cluster12
17,-368.7726228178648,cluster12
13,-41.42065336786475,cluster12
19,-30.826837727865207,cluster12
20,-256.3630751799992,cluster12
18,112.0703067982461,cluster12
3,-12.96612280786533,cluster12
4,-175.6381930478648,cluster12
9,-134.22545635999936,cluster12
14,-131.51196755000015,cluster12
15,-107.40267707786461,cluster12
22,-157.441856357865,cluster12
30,-101.18343558999989,cluster12
1,-25.610377677865184,cluster12
6,-596.2827378599967,cluster12
11,-193.07766243786517,cluster12
5,-209.05360229786493,cluster12
12,-233.51174504786556,cluster12
23,-159.35406553786467,cluster12
24,155.99937148213544,cluster12
25,-299.453226607865,cluster12
26,-379.2261962378658,cluster12
27,-211.25490086786579,cluster12
28,-119.26967464786554,cluster12
29,-174.90948469786514,cluster12
2,-210.17465859786424,cluster12
10,-185.63984823786467,cluster12
8,-615.0629213299998,cluster12
16,-161.69813789786542,cluster12
21,-412.8670945678671,cluster12
