Building,Profit,Setup
7,-32.98025289999993,cluster18
17,-368.7726228178648,cluster18
13,-40.75914236999963,cluster18
19,-30.16532673,cluster18
20,-256.3630751799992,cluster18
18,-311.63190151000015,cluster18
9,-134.22545635999936,cluster18
30,-101.18343558999989,cluster18
1,-25.610377677865184,cluster18
6,-596.944248857862,cluster18
11,-193.07766243786517,cluster18
23,-159.35406553786467,cluster18
24,156.6608824800007,cluster18
26,-379.2261962378658,cluster18
28,-119.26967464786554,cluster18
29,-174.24797369999996,cluster18
2,-209.5131475999992,cluster18
8,-615.7244323278647,cluster18
21,-412.8670945678671,cluster18
3,-12.30461181000009,cluster18
4,-174.97668204999962,cluster18
14,-131.51196755000015,cluster18
15,-106.74116607999937,cluster18
22,-156.78034535999973,cluster18
16,-161.0366269000002,cluster18
10,-185.63984823786467,cluster18
27,-211.25490086786579,cluster18
25,-299.453226607865,cluster18
5,214.91212797297757,cluster18
12,190.39627194721047,cluster18
