Building,Profit,Setup
2,-209.5131475999992,cluster8
3,-12.30461181000009,cluster8
4,-174.97668204999962,cluster8
5,-208.39209129999978,cluster8
7,-32.98025289999993,cluster8
9,-134.22545635999936,cluster8
11,-192.41615144000002,cluster8
12,-232.8502340500004,cluster8
13,-40.75914236999963,cluster8
14,-131.51196755000015,cluster8
15,-106.74116607999937,cluster8
19,-30.16532673,cluster8
20,-256.3630751799992,cluster8
22,-156.78034535999973,cluster8
23,-158.6925545399995,cluster8
24,156.6608824800007,cluster8
25,-298.79171560999976,cluster8
26,-378.56468524000087,cluster8
27,-210.5933898700006,cluster8
28,-118.60816365000031,cluster8
29,-174.90948469786514,cluster8
30,-101.18343558999989,cluster8
1,-25.610377677865184,cluster8
6,-596.944248857862,cluster8
8,-615.7244323278647,cluster8
10,-185.63984823786467,cluster8
16,-161.69813789786542,cluster8
17,-368.7726228178648,cluster8
18,-312.2934125078656,cluster8
21,-412.8670945678671,cluster8
