Building,Profit,Setup
7,-796.8494898449038,PPO_FL
7,-796.8474189465045,PPO_FL
7,-796.8495822680401,PPO_FL
25,-1441.485267866255,PPO_FL
25,-1441.4853272546138,PPO_FL
25,-1441.485280990187,PPO_FL
16,-1254.5245571492144,PPO_FL
16,-1254.5242555461164,PPO_FL
16,-1254.506311149883,PPO_FL
17,-1847.5497107678252,PPO_FL
17,-1847.5446221848565,PPO_FL
17,-1847.5497818809822,PPO_FL
21,-1990.5832649105303,PPO_FL
21,-1990.578726815533,PPO_FL
21,-1990.5801213021653,PPO_FL
5,-1111.0940339569534,PPO_FL
5,-1111.099876926101,PPO_FL
5,-1111.1102366515393,PPO_FL
12,-1154.540658214625,PPO_FL
12,-1154.4973679072623,PPO_FL
12,-1154.5484640659454,PPO_FL
13,-691.2104605860217,PPO_FL
13,-691.2553312835377,PPO_FL
13,-691.223900507751,PPO_FL
19,-401.1077595702351,PPO_FL
19,-401.0680451312718,PPO_FL
19,-401.0735339109788,PPO_FL
20,-1512.9990939599513,PPO_FL
20,-1512.8396955390374,PPO_FL
20,-1512.8812595652666,PPO_FL
23,-1062.7316497628992,PPO_FL
23,-1062.727290002317,PPO_FL
23,-1062.7234733765222,PPO_FL
24,-591.564575694986,PPO_FL
24,-591.3339499674506,PPO_FL
24,-591.1758577667927,PPO_FL
26,-1834.1629080839168,PPO_FL
26,-1834.377214763362,PPO_FL
26,-1834.2947864970176,PPO_FL
27,-1131.0474499229676,PPO_FL
27,-1130.9336920156866,PPO_FL
27,-1131.0143959663899,PPO_FL
28,-669.6621613071799,PPO_FL
28,-669.7542310078679,PPO_FL
28,-669.7479636487369,PPO_FL
29,-1063.039404413634,PPO_FL
29,-1063.0222266937917,PPO_FL
29,-1063.0682714419022,PPO_FL
18,-1699.6756170072535,PPO_FL
18,-1710.866622880882,PPO_FL
18,-1698.4951887885093,PPO_FL
3,-358.14591837143354,PPO_FL
3,-358.17989830562317,PPO_FL
3,-358.060702298162,PPO_FL
4,-985.8752491104965,PPO_FL
4,-986.4268944723908,PPO_FL
4,-985.9288614825641,PPO_FL
9,-874.3676378383534,PPO_FL
9,-874.317487514505,PPO_FL
9,-874.3694252819791,PPO_FL
14,-899.2517482479311,PPO_FL
14,-899.8091961857403,PPO_FL
14,-899.7892167717922,PPO_FL
15,-687.6350750920309,PPO_FL
15,-687.677098579152,PPO_FL
15,-687.6725057224363,PPO_FL
22,-831.636584595277,PPO_FL
22,-833.2202110635245,PPO_FL
22,-831.3749628194241,PPO_FL
30,-723.6978519931045,PPO_FL
30,-723.7151076116954,PPO_FL
30,-723.643438514001,PPO_FL
1,-1265.2353901760923,PPO_FL
1,-1268.9038156243835,PPO_FL
1,-1264.4825953147595,PPO_FL
6,-2773.656063629996,PPO_FL
6,-2773.656063629996,PPO_FL
6,-2773.656063629996,PPO_FL
8,-2751.3124659300106,PPO_FL
8,-2751.3124659300106,PPO_FL
8,-2751.3124659300106,PPO_FL
2,-1169.260628754973,PPO_FL
2,-1169.2590875368442,PPO_FL
2,-1169.2535509596821,PPO_FL
10,-1019.9807819839119,PPO_FL
10,-1019.9873873585933,PPO_FL
10,-1020.5386419385644,PPO_FL
11,-1223.6229340236566,PPO_FL
11,-1223.6664423172988,PPO_FL
11,-1223.6403553484633,PPO_FL
