Building,Profit,Setup,Time
1,-953.7841696618815,DDPG_LL,18890.695085048676
1,-911.5021402621534,DDPG_LL,18890.695085048676
1,-958.5961472333014,DDPG_LL,18890.695085048676
2,-1208.1123975806292,DDPG_LL,18890.695085048676
2,-1189.0630187098752,DDPG_LL,18890.695085048676
2,-1179.2847826201587,DDPG_LL,18890.695085048676
3,-313.87632805362404,DDPG_LL,18890.695085048676
3,-320.7757071128456,DDPG_LL,18890.695085048676
3,-320.03545037127543,DDPG_LL,18890.695085048676
4,-957.6202403400058,DDPG_LL,18890.695085048676
4,-964.6110198455982,DDPG_LL,18890.695085048676
4,-938.2492100147994,DDPG_LL,18890.695085048676
5,-1083.721037290112,DDPG_LL,18890.695085048676
5,-1070.9577052289658,DDPG_LL,18890.695085048676
5,-1081.8742311078122,DDPG_LL,18890.695085048676
6,-2731.3369756738457,DDPG_LL,18890.695085048676
6,-2774.04273436147,DDPG_LL,18890.695085048676
6,-2764.694377197712,DDPG_LL,18890.695085048676
7,-589.6059770594464,DDPG_LL,18890.695085048676
7,-606.385401760894,DDPG_LL,18890.695085048676
7,-623.8305389722135,DDPG_LL,18890.695085048676
8,-2753.6349211650067,DDPG_LL,18890.695085048676
8,-2758.980038797491,DDPG_LL,18890.695085048676
8,-2755.4358295071443,DDPG_LL,18890.695085048676
9,-850.0327494277033,DDPG_LL,18890.695085048676
9,-853.844404594104,DDPG_LL,18890.695085048676
9,-809.7615003147913,DDPG_LL,18890.695085048676
10,-956.224621744366,DDPG_LL,18890.695085048676
10,-978.9724074131373,DDPG_LL,18890.695085048676
10,-960.2362651817714,DDPG_LL,18890.695085048676
11,-1073.6250582968246,DDPG_LL,18890.695085048676
11,-1090.9432175269621,DDPG_LL,18890.695085048676
11,-1087.636467022073,DDPG_LL,18890.695085048676
12,-1144.5833870763981,DDPG_LL,18890.695085048676
12,-1139.1758223562615,DDPG_LL,18890.695085048676
12,-1137.9355082299287,DDPG_LL,18890.695085048676
13,-583.9777325180378,DDPG_LL,18890.695085048676
13,-620.7579631379027,DDPG_LL,18890.695085048676
13,-655.4504754671151,DDPG_LL,18890.695085048676
14,-798.8638079574363,DDPG_LL,18890.695085048676
14,-832.3588703284704,DDPG_LL,18890.695085048676
14,-879.1302731351698,DDPG_LL,18890.695085048676
15,-645.8381024850869,DDPG_LL,18890.695085048676
15,-640.7202864014428,DDPG_LL,18890.695085048676
15,-662.9757908805296,DDPG_LL,18890.695085048676
16,-1101.807457857733,DDPG_LL,18890.695085048676
16,-1127.1930021066876,DDPG_LL,18890.695085048676
16,-1121.4432399888924,DDPG_LL,18890.695085048676
17,-1854.33326234248,DDPG_LL,18890.695085048676
17,-1791.5618658164278,DDPG_LL,18890.695085048676
17,-1816.794903512211,DDPG_LL,18890.695085048676
18,-1652.0882277967246,DDPG_LL,18890.695085048676
18,-1654.1362249550004,DDPG_LL,18890.695085048676
18,-1644.0236776614522,DDPG_LL,18890.695085048676
19,-385.2353923975457,DDPG_LL,18890.695085048676
19,-350.53229162146516,DDPG_LL,18890.695085048676
19,-393.0196154091278,DDPG_LL,18890.695085048676
20,-1536.719026393088,DDPG_LL,18890.695085048676
20,-1493.1504799397476,DDPG_LL,18890.695085048676
20,-1501.6619499200349,DDPG_LL,18890.695085048676
21,-1970.1773566814725,DDPG_LL,18890.695085048676
21,-2062.861343166554,DDPG_LL,18890.695085048676
21,-1995.8573530589242,DDPG_LL,18890.695085048676
22,-823.8658996176129,DDPG_LL,18890.695085048676
22,-821.5538912802374,DDPG_LL,18890.695085048676
22,-816.4211105554983,DDPG_LL,18890.695085048676
23,-1023.761473254059,DDPG_LL,18890.695085048676
23,-1018.5394932502916,DDPG_LL,18890.695085048676
23,-1003.906677405368,DDPG_LL,18890.695085048676
24,-409.80040592152494,DDPG_LL,18890.695085048676
24,-464.8096121420046,DDPG_LL,18890.695085048676
24,-423.51092955364066,DDPG_LL,18890.695085048676
25,-1409.7461451233478,DDPG_LL,18890.695085048676
25,-1455.2245230318965,DDPG_LL,18890.695085048676
25,-1487.464710744371,DDPG_LL,18890.695085048676
26,-1811.815182542367,DDPG_LL,18890.695085048676
26,-1845.8750476444372,DDPG_LL,18890.695085048676
26,-1807.997623892128,DDPG_LL,18890.695085048676
27,-1086.0647538246142,DDPG_LL,18890.695085048676
27,-1077.495026927857,DDPG_LL,18890.695085048676
27,-1070.3010565167738,DDPG_LL,18890.695085048676
28,-629.6396768814761,DDPG_LL,18890.695085048676
28,-708.5337873240536,DDPG_LL,18890.695085048676
28,-636.0230696402147,DDPG_LL,18890.695085048676
29,-966.7381213374902,DDPG_LL,18890.695085048676
29,-961.2764625625416,DDPG_LL,18890.695085048676
29,-950.2014197633029,DDPG_LL,18890.695085048676
30,-644.1812314114969,DDPG_LL,18890.695085048676
30,-645.8832039772553,DDPG_LL,18890.695085048676
30,-644.9318052855422,DDPG_LL,18890.695085048676
