Building,Profit,Total Emissions,Setup
4,-966.2155080448634,3988.7715992915328,cluster3
4,-965.1285962510389,3982.3448899332957,cluster3
4,-966.3636640081701,3989.6393391983684,cluster3
6,-2754.3988100669735,10559.120641158994,cluster3
6,-2754.9082386456994,10562.354038235315,cluster3
6,-2754.792649294006,10561.741042393498,cluster3
7,-758.6679673800825,3726.581702950764,cluster3
7,-760.6618257941979,3738.576182853668,cluster3
7,-757.0098429425441,3716.9030159723607,cluster3
8,-2750.4996878220363,9882.00548856366,cluster3
8,-2750.8571809194045,9885.009829599036,cluster3
8,-2750.6323113901867,9884.079840401195,cluster3
9,-865.8148507675637,3739.3172929111274,cluster3
9,-865.64289733956,3738.343928706699,cluster3
9,-866.2771356993135,3742.054299893681,cluster3
10,-1007.5567406835793,4151.459985743855,cluster3
10,-1008.3495229317913,4155.984354084433,cluster3
10,-1007.7351966623089,4152.532562427983,cluster3
13,-645.9081019117714,2886.8401310473105,cluster3
13,-643.6485173033747,2873.7545219410076,cluster3
13,-645.8677739068427,2886.8720165329787,cluster3
17,-1816.3052767630136,6463.808317903513,cluster3
17,-1814.7593207879556,6453.510348118795,cluster3
17,-1814.982621761655,6453.762266882105,cluster3
18,-1681.9813625353027,6737.974645409649,cluster3
18,-1684.115339394728,6752.255576055204,cluster3
18,-1682.9562597199813,6744.930406148563,cluster3
20,-1488.2088807800924,5882.6731434957,cluster3
20,-1487.5371492076624,5878.996157510466,cluster3
20,-1486.5395840384622,5872.930274110014,cluster3
21,-1967.7026816866057,7473.663728598638,cluster3
21,-1967.3090851479294,7470.787726180209,cluster3
21,-1967.3777207634218,7470.973562247943,cluster3
25,-1425.5621780913834,5011.061075653687,cluster3
25,-1425.7121894167228,5012.103064866572,cluster3
25,-1424.7486212065007,5006.593705218449,cluster3
27,-1116.149865878867,4425.360919573706,cluster3
27,-1116.4230849589683,4426.996112291035,cluster3
27,-1115.741995938913,4422.786381974239,cluster3
29,-1034.5192951537765,3994.5868315889547,cluster3
29,-1033.4314844826372,3987.413301074299,cluster3
29,-1033.2216180187238,3987.194205316925,cluster3
30,-709.8422310035935,3077.9552959044095,cluster3
30,-709.6600718728846,3076.8760484056747,cluster3
30,-709.0696252611081,3073.448750579273,cluster3
1,-1264.4045329572812,6429.836471776146,cluster3
1,-1266.9286439456612,6446.1395071767665,cluster3
1,-1267.0242799956184,6446.3569244358805,cluster3
11,-1221.420518429126,4998.381021336447,cluster3
11,-1221.9013176036385,5001.57257358459,cluster3
11,-1222.0163473792077,5001.837480153305,cluster3
12,-1149.4125251142275,4263.60709899141,cluster3
12,-1149.382510785265,4262.570457073587,cluster3
12,-1149.4724351289744,4264.52253933839,cluster3
16,-1250.9434221562135,5251.906242999016,cluster3
16,-1251.1194027895554,5253.155798453029,cluster3
16,-1251.5088086764147,5255.626141827027,cluster3
19,-396.04538840357816,1744.5900528192105,cluster3
19,-395.9295968119798,1743.954785123427,cluster3
19,-396.04035603826725,1744.6655033772083,cluster3
24,-590.4299695105251,3645.57647580481,cluster3
24,-590.6247990536671,3646.495215618354,cluster3
24,-590.2773551087564,3644.401135392202,cluster3
2,-1141.5801981973193,4367.327251545367,cluster3
2,-1141.108859789668,4365.031992372538,cluster3
2,-1145.2957967205648,4390.194524646663,cluster3
3,-348.8304446868385,1687.9740705593342,cluster3
3,-349.5590438137884,1692.9132651256236,cluster3
3,-349.6345362479051,1693.4068290100495,cluster3
5,-1099.408105569353,4495.274732652251,cluster3
5,-1099.407471561839,4495.287470288406,cluster3
5,-1099.4165923197297,4495.345646852929,cluster3
14,-872.799325006947,3587.7960011972377,cluster3
14,-872.7861754843153,3587.7551049802837,cluster3
14,-872.5073558170474,3585.8319177605463,cluster3
15,-675.970827757478,2842.7363110006595,cluster3
15,-676.0182731862197,2843.083763219282,cluster3
15,-676.069659581107,2843.4508024042525,cluster3
22,-817.972760338978,3119.5229715455353,cluster3
22,-818.0338581536587,3119.935000709351,cluster3
22,-818.0320004304442,3119.9324781095697,cluster3
23,-1031.313102436404,3801.7943890588076,cluster3
23,-1031.3636981388865,3802.75052672673,cluster3
23,-1031.3841290951432,3802.3883036620186,cluster3
26,-1818.6207713744623,7081.0011865710985,cluster3
26,-1818.573045704354,7080.434026821934,cluster3
26,-1818.5687859067245,7079.528074054443,cluster3
28,-657.3523860202833,2497.747009215819,cluster3
28,-657.3362266973213,2497.7073333996236,cluster3
28,-657.3613183377091,2497.912768756147,cluster3
