Load,PV,Price,Fuel Share
1.553,0.0,0.02507,0.4942954423272206
1.715,0.0,0.02418,0.4945748449955713
1.339,0.0,0.02481,0.4937708779660673
0.865,0.0,0.02447,0.4907230014240782
0.38,0.0,0.02335,0.4858429993895122
1.329,0.0,0.01887,0.4844624056152292
0.191,0.0,0.02011,0.4810592888811614
0.098,0.0,0.01788,0.4754260474008636
0.104,0.0,0.01721,0.4652219542693819
1.238,0.0,0.01919,0.4601871817740497
0.247,0.0,0.02053,0.4563926084931911
0.118,0.0,0.02115,0.4564154693103684
0.108,0.0,0.02519,0.4512348262871494
0.362,0.0,0.0266,0.4528501016089011
0.797,0.006,0.02586,0.4747954861447925
0.832,0.019,0.02655,0.4911536910461497
0.28,0.056,0.02711,0.5211297721794573
0.328,0.056,0.0266099999999999,0.5487405368203716
0.358,0.2,0.02822,0.5827337506601903
0.208,0.456,0.0267899999999999,0.6104429234262397
0.614,0.713,0.02598,0.6403502394972577
0.845,0.638,0.02586,0.659265921858234
1.348,0.669,0.02599,0.6692015209125475
1.6,0.738,0.0258,0.6727876039758566
1.889,1.05,0.02574,0.6792904656319291
1.472,1.125,0.0256,0.6849662348350687
1.207,1.181,0.02553,0.6920933113129645
0.442,1.15,0.02565,0.6981240101420934
1.068,1.031,0.02549,0.6944664658316156
1.849,0.663,0.0255,0.6880731827414291
1.846,0.15,0.0255,0.6784466688597521
1.82,0.088,0.02551,0.6674049523566716
1.961,0.031,0.02607,0.6503963287442637
1.588,0.0,0.02655,0.6162438547967466
1.746,0.0,0.02862,0.5749669776104096
0.91,0.0,0.03686,0.5490768949041935
0.213,0.0,0.0341,0.5057882060445964
0.582,0.0,0.02834,0.4772845446774009
0.495,0.0,0.0263,0.4425328179629339
0.54,0.0,0.02584,0.4290626961891287
0.406,0.0,0.02567,0.4032312482527931
0.543,0.0,0.02542,0.3838294701337412
0.495,0.0,0.02521,0.3861475736846714
0.216,0.0,0.02501,0.3870855821125674
0.378,0.0,0.02551,0.3994285016026394
0.128,0.0,0.02514,0.4000319581911664
0.078,0.0,0.02599,0.4055485902282218
1.2,0.0,0.0254,0.4046436233611442
1.354,0.0,0.02548,0.4219780440727039
1.584,0.0,0.02548,0.4195551851023603
1.378,0.0,0.02485,0.3953979001079383
1.329,0.0,0.02484,0.389772366751269
0.289,0.0,0.0239699999999999,0.3825528135633813
0.701,0.0,0.02249,0.3751734616358572
1.031,0.0,0.01782,0.3697782039523055
0.12,0.0,0.02102,0.3591621704703251
0.08,0.0,0.01764,0.3502763018065887
0.5780000000000001,0.0,0.01969,0.3380290482333846
1.034,0.0,0.01967,0.316815638472436
0.084,0.0,0.01969,0.3088371444784024
0.116,0.0,0.02171,0.2932518744793113
0.08,0.0,0.01966,0.29394235820517
0.797,0.006,0.02203,0.3035910004919179
1.06,0.031,0.02404,0.3206778081872707
0.269,0.088,0.0249,0.3599292860551162
0.309,0.225,0.0255899999999999,0.3830647604046768
0.164,0.188,0.02544,0.4099673083908463
0.631,0.169,0.0252,0.4283003773478042
1.486,0.206,0.02478,0.4570859354561736
1.366,0.213,0.0250799999999999,0.4706026198564498
1.466,0.269,0.02469,0.488670928494097
1.191,0.306,0.0243299999999999,0.4997161718276621
1.226,0.319,0.0240599999999999,0.508160631594929
1.628,0.338,0.02392,0.5068203407003989
0.617,0.306,0.02401,0.5080645676025862
1.165,0.3,0.02401,0.5092765150787399
1.154,0.231,0.02401,0.5106092028515878
1.104,0.138,0.02401,0.504232970134044
0.375,0.069,0.02401,0.5001160469758158
0.118,0.05,0.02375,0.4883652548149534
0.235,0.038,0.02401,0.4696058919892233
0.445,0.006,0.02479,0.4570488325604797
1.183,0.0,0.02628,0.4248907799803617
1.19,0.0,0.02786,0.4100178710402675
0.555,0.0,0.02596,0.3733085739508973
0.405,0.0,0.02549,0.3605534454693435
0.262,0.0,0.02534,0.3431185513743819
1.1,0.0,0.02548,0.3275429202856748
1.012,0.0,0.02543,0.3056631556050097
0.817,0.0,0.0254,0.2843256065802026
0.526,0.0,0.02533,0.2557923340961098
0.335,0.0,0.0251,0.2531204722779672
0.402,0.0,0.0255,0.2777449000905103
0.142,0.0,0.02548,0.2649220242591193
0.12,0.0,0.02618,0.2591129984762832
1.199,0.0,0.02565,0.2569522709988363
1.98,0.0,0.02505,0.2578921582221729
2.633,0.0,0.02434,0.2550256061044206
2.042,0.0,0.02462,0.254516881845899
1.887,0.0,0.0231499999999999,0.2515360074220636
0.729,0.0,0.01874,0.2497475372977916
1.674,0.0,0.01487,0.2493262478648699
1.283,0.0,0.01422,0.2479309821191298
0.131,0.0,0.01397,0.2442179349493709
0.295,0.0,0.01802,0.2459167684069869
1.05,0.0,0.01393,0.2461914631467349
0.106,0.0,0.01802,0.2434387776249599
0.35,0.0,0.01776,0.2437710687852307
0.122,0.0,0.0197199999999999,0.2487668649354417
0.098,0.0,0.01761,0.2633255931700333
0.799,0.013,0.02038,0.2884416494295055
0.999,0.056,0.02115,0.3195361199128429
0.439,0.113,0.02384,0.3451449397424314
0.209,0.144,0.02404,0.3596650373346928
0.105,0.338,0.02401,0.3819931211633071
0.152,0.513,0.02411,0.3998968955679218
0.445,0.706,0.02367,0.4294253708261051
0.205,0.806,0.02401,0.4383235906073516
0.232,0.9,0.02401,0.4516516904777296
0.09,1.013,0.02401,0.4591453122602424
0.385,1.106,0.02388,0.4608464894526154
0.543,1.131,0.0239699999999999,0.4648765916903784
0.369,1.206,0.02367,0.4690969377552139
0.616,1.106,0.02321,0.4704982489031233
0.786,1.094,0.0236,0.4686867760965357
0.833,0.863,0.02269,0.4657696873763355
0.803,0.35,0.02302,0.4594126201021241
1.085,0.156,0.0233,0.4512774786975148
0.801,0.038,0.0229699999999999,0.4320165130489873
0.837,0.006,0.0245799999999999,0.4131413203542515
1.158,0.0,0.02617,0.3894063364236892
0.991,0.0,0.02649,0.3746995848809263
1.108,0.0,0.02615,0.3382338195253264
1.104,0.0,0.0255899999999999,0.3201891499305292
0.441,0.0,0.02549,0.2963026627049415
0.387,0.0,0.02562,0.2787092984222893
0.274,0.0,0.02554,0.2571914643729975
0.782,0.0,0.02534,0.2339211016866008
0.519,0.0,0.02487,0.2306077972394866
0.225,0.0,0.02401,0.2141816682698914
