Building,Total Profit,Total Emissions
1,778.7179609299417,2809.480848872882
2,1055.8199779412562,2613.749461900068
3,212.16840809314294,534.8709614199998
4,916.5478651446655,2076.674477496892
5,1044.8480095693697,2846.0617212444395
6,2732.195821823121,8343.075465251779
7,474.4016138504684,1236.512074432482
8,2736.20497353199,7750.462676286821
9,727.6680770110801,1833.6645490665214
10,907.4271424441646,2149.0543519530656
11,1049.5903034775972,2495.8685516670857
12,1138.3397477398623,2410.244206832553
13,430.6009596788586,1228.0113142066266
14,759.9762510130853,1761.5108151142708
15,587.1656363600217,1229.309181818905
16,964.1559066163225,2638.3433980971204
17,1753.7002218358878,4419.716335773844
18,1545.0063477118624,4312.882348288907
19,280.7327877327845,581.2981588892914
20,1328.0704502873236,3775.7411551895343
21,1940.5183073516653,5331.905234184901
22,747.8644040208927,1668.1123942351871
23,898.4454355852407,2173.933038058905
24,263.740360601186,1141.7945609678866
25,1351.0081952846842,3236.0811470585822
26,1780.6102616166806,5118.3206134202055
27,1047.4005894503227,2534.6082403737164
28,609.9070482248704,1240.1450048366778
29,892.7330730206166,2087.2310578962247
30,575.5599427872847,1276.6570949125949
