Building,Profit,Setup,Time
1,-1284.1798309748747,SAC_LL,20596.590861320496
1,-1325.4588150401296,SAC_LL,20596.590861320496
1,-1308.3491472397734,SAC_LL,20596.590861320496
2,-1393.9620369683748,SAC_LL,20596.590861320496
2,-1349.5690525099405,SAC_LL,20596.590861320496
2,-1434.9533863023012,SAC_LL,20596.590861320496
3,-534.7302802362489,SAC_LL,20596.590861320496
3,-541.2036519544363,SAC_LL,20596.590861320496
3,-593.2898451186452,SAC_LL,20596.590861320496
4,-1191.7185910924375,SAC_LL,20596.590861320496
4,-1162.5095919828111,SAC_LL,20596.590861320496
4,-1162.3193200415012,SAC_LL,20596.590861320496
5,-1240.9586840853242,SAC_LL,20596.590861320496
5,-1270.1218676411602,SAC_LL,20596.590861320496
5,-1276.9360139347348,SAC_LL,20596.590861320496
6,-2825.6454363518674,SAC_LL,20596.590861320496
6,-2895.1279158766547,SAC_LL,20596.590861320496
6,-2840.2869216973922,SAC_LL,20596.590861320496
7,-873.3794275311855,SAC_LL,20596.590861320496
7,-929.939670871744,SAC_LL,20596.590861320496
7,-852.8278645337188,SAC_LL,20596.590861320496
8,-2906.9677527771264,SAC_LL,20596.590861320496
8,-3069.377788605554,SAC_LL,20596.590861320496
8,-3041.6282159515986,SAC_LL,20596.590861320496
9,-1084.8195040090168,SAC_LL,20596.590861320496
9,-1033.515604394838,SAC_LL,20596.590861320496
9,-1106.4752518985636,SAC_LL,20596.590861320496
10,-1186.5694165694922,SAC_LL,20596.590861320496
10,-1201.5667582731326,SAC_LL,20596.590861320496
10,-1219.8660997429747,SAC_LL,20596.590861320496
11,-1319.2442740182962,SAC_LL,20596.590861320496
11,-1352.0344494242859,SAC_LL,20596.590861320496
11,-1424.888590157356,SAC_LL,20596.590861320496
12,-1289.6094251586253,SAC_LL,20596.590861320496
12,-1286.5318713948147,SAC_LL,20596.590861320496
12,-1261.2396692365521,SAC_LL,20596.590861320496
13,-764.6160559347517,SAC_LL,20596.590861320496
13,-814.6240335355867,SAC_LL,20596.590861320496
13,-837.5209848684209,SAC_LL,20596.590861320496
14,-1029.9984744249216,SAC_LL,20596.590861320496
14,-1004.2835242388597,SAC_LL,20596.590861320496
14,-1148.7000663036524,SAC_LL,20596.590861320496
15,-877.9266086230564,SAC_LL,20596.590861320496
15,-896.6364374913926,SAC_LL,20596.590861320496
15,-854.7043618996356,SAC_LL,20596.590861320496
16,-1469.932532108098,SAC_LL,20596.590861320496
16,-1327.3415571390963,SAC_LL,20596.590861320496
16,-1417.6581311414805,SAC_LL,20596.590861320496
17,-1922.4503615365638,SAC_LL,20596.590861320496
17,-1930.63623461696,SAC_LL,20596.590861320496
17,-1929.1811539228063,SAC_LL,20596.590861320496
18,-1850.2307609860063,SAC_LL,20596.590861320496
18,-1861.4574156163837,SAC_LL,20596.590861320496
18,-1829.9471731853753,SAC_LL,20596.590861320496
19,-582.883763046333,SAC_LL,20596.590861320496
19,-666.4460127255838,SAC_LL,20596.590861320496
19,-642.4400090681668,SAC_LL,20596.590861320496
20,-1651.3298377737697,SAC_LL,20596.590861320496
20,-1618.0485346764476,SAC_LL,20596.590861320496
20,-1677.045540748342,SAC_LL,20596.590861320496
21,-2259.353448418266,SAC_LL,20596.590861320496
21,-2106.436784729107,SAC_LL,20596.590861320496
21,-2050.9721535329145,SAC_LL,20596.590861320496
22,-992.6757855727167,SAC_LL,20596.590861320496
22,-990.0361612566494,SAC_LL,20596.590861320496
22,-1002.492304395633,SAC_LL,20596.590861320496
23,-1238.201011431401,SAC_LL,20596.590861320496
23,-1212.0747189552476,SAC_LL,20596.590861320496
23,-1190.5909004878665,SAC_LL,20596.590861320496
24,-652.8289779034045,SAC_LL,20596.590861320496
24,-639.1070216727755,SAC_LL,20596.590861320496
24,-611.8907177109,SAC_LL,20596.590861320496
25,-1571.674097803594,SAC_LL,20596.590861320496
25,-1533.9270496502672,SAC_LL,20596.590861320496
25,-1556.052841475982,SAC_LL,20596.590861320496
26,-1944.8975647990483,SAC_LL,20596.590861320496
26,-1926.5157440855394,SAC_LL,20596.590861320496
26,-1917.3625723183814,SAC_LL,20596.590861320496
27,-1265.4909596321224,SAC_LL,20596.590861320496
27,-1265.0165818391474,SAC_LL,20596.590861320496
27,-1297.4189786278962,SAC_LL,20596.590861320496
28,-766.2260800779437,SAC_LL,20596.590861320496
28,-763.7892772958379,SAC_LL,20596.590861320496
28,-805.5572353554286,SAC_LL,20596.590861320496
29,-1220.9151503183318,SAC_LL,20596.590861320496
29,-1242.9675898525134,SAC_LL,20596.590861320496
29,-1431.11657555616,SAC_LL,20596.590861320496
30,-849.3413819725536,SAC_LL,20596.590861320496
30,-947.4480561420165,SAC_LL,20596.590861320496
30,-905.4814483335906,SAC_LL,20596.590861320496
