Date,Start,End,Biomass [MWh] Original resolutions,Hydropower [MWh] Original resolutions,Wind offshore [MWh] Original resolutions,Wind onshore [MWh] Original resolutions,Photovoltaics [MWh] Original resolutions,Other renewable [MWh] Original resolutions,Nuclear [MWh] Original resolutions,Lignite [MWh] Original resolutions,Hard coal [MWh] Original resolutions,Fossil gas [MWh] Original resolutions,Hydro pumped storage [MWh] Original resolutions,Other conventional [MWh] Original resolutions
01.07.2020,00:00:00,00:15:00,1100.25,6085,81425,3562,0,365,1313.25,1908.5,37925,1789.75,28575,24125
01.07.2020,00:15:00,00:30:00,1096.75,570,8075,3549,0,365,1313,1895.25,37125,1784,25475,24125
01.07.2020,00:30:00,00:45:00,1097,5805,79275,3530.5,0,365,1316.5,1844.5,36925,1785.25,23275,24125
01.07.2020,00:45:00,01:00:00,1096,5635,762,3535.5,0,365,1318.25,1769.25,36475,1787,22425,24125
01.07.2020,01:00:00,01:15:00,1095,61575,72925,3571.25,0,365,1320.75,1695.25,3635,1798.75,42725,24125
01.07.2020,01:15:00,01:30:00,1092.25,604,71225,3625.75,0,3675,1321.5,1632.25,3625,1796.25,397,24125
01.07.2020,01:30:00,01:45:00,1090.75,59325,704,3605,0,3675,1322.25,1640,36025,1799.5,393,241
01.07.2020,01:45:00,02:00:00,1090.5,57025,68175,3566.75,0,3675,1322.5,1658.5,36075,1791.5,390,241
01.07.2020,02:00:00,02:15:00,1090.25,57625,68525,3542.5,0,3675,1322,1604.5,359,1819,38675,241
01.07.2020,02:15:00,02:30:00,1090.5,5715,687,3549.75,0,3675,1322.5,1552.25,35675,1819.25,38675,24125
01.07.2020,02:30:00,02:45:00,1088.5,5705,69575,3578.25,0,3675,1322.75,1516.25,361,1828.25,3875,241
01.07.2020,02:45:00,03:00:00,1088,5715,6855,3542.75,0,3675,1323,1536,364,1823.5,38925,24125
01.07.2020,03:00:00,03:15:00,1088.25,581,6735,3543.75,0,3675,1323.5,1628.5,362,1827,41525,24125
01.07.2020,03:15:00,03:30:00,1093.5,583,66675,3461.5,0,3675,1324.75,1638.5,3645,1826.25,41525,24125
01.07.2020,03:30:00,03:45:00,1092.5,577,646,3423,0,3675,1324.75,1686,365,1831.5,41175,2415
01.07.2020,03:45:00,04:00:00,1094.25,56875,621,3368.75,0,3675,1325.25,1711,3635,1822.75,416,24125
01.07.2020,04:00:00,04:15:00,1095.25,58175,583,3279.5,0,3675,1326.25,1759.25,3755,1814.25,466,241
01.07.2020,04:15:00,04:30:00,1097.75,575,549,3189.5,0,3675,1326.25,1784,37925,1822.5,4625,24075
01.07.2020,04:30:00,04:45:00,1096.5,6075,5305,3070.75,0.25,3675,1326.75,1788,376,1830,45475,24075
01.07.2020,04:45:00,05:00:00,1097,61325,51025,2988.75,1.25,3675,1326.5,1810.75,37575,1852.75,455,2405
01.07.2020,05:00:00,05:15:00,1102.75,580,48325,2906.75,7.5,3675,1326,1921.5,44925,1880,403,24175
01.07.2020,05:15:00,05:30:00,1105,57425,45975,2882.5,22.25,3675,1326.5,1980.5,4615,1878,3165,24175
01.07.2020,05:30:00,05:45:00,1105.5,597,4265,2783,57.5,3675,1327,2044,489,1888,28225,24175
01.07.2020,05:45:00,06:00:00,1107.75,617,3975,2702.5,126.5,3675,1327,2225.5,5065,1923.75,31275,24175
01.07.2020,06:00:00,06:15:00,1122,6015,393,2621,223.5,3675,1321.5,2346.25,59975,2009,307,2415
01.07.2020,06:15:00,06:30:00,1129.5,60425,38875,2536,346.25,3675,1322,2455,63975,2058.25,235,24225
01.07.2020,06:30:00,06:45:00,1129.25,61125,39125,2438.25,506.75,3675,1323.5,2507.25,66575,2071.75,3245,24225
01.07.2020,06:45:00,07:00:00,1135,619,36625,2360.75,697.5,3675,1326,2520.75,68425,2079.75,4585,24225
01.07.2020,07:00:00,07:15:00,1144.25,5985,35575,2248.75,934,365,1321.75,2509,7005,2078.25,33875,24075
01.07.2020,07:15:00,07:30:00,1146.25,603,35025,2192,1202,365,1325,2527.75,702,2084.5,396,241
01.07.2020,07:30:00,07:45:00,1146.75,58825,35325,2156.25,1491.5,365,1323.5,2535.75,7005,2089.25,37375,241
01.07.2020,07:45:00,08:00:00,1152.5,608,341,2082.25,1823.5,365,1325.25,2537.25,707,2091.5,351,241
01.07.2020,08:00:00,08:15:00,1160,62125,3475,2018.25,2158,3625,1322.5,2528.5,71525,2098.5,523,243
01.07.2020,08:15:00,08:30:00,1164.25,62625,3645,2005.75,2472.5,3625,1323,2550.5,71675,2097.5,459,24425
01.07.2020,08:30:00,08:45:00,1160.5,621,38075,1998.5,2820,3625,1323.25,2557.25,712,2104.5,367,244
01.07.2020,08:45:00,09:00:00,1155.25,6035,370,2011.25,3128.25,3625,1322.25,2550.5,70225,2112.75,235,244
01.07.2020,09:00:00,09:15:00,1152.75,64175,3455,2071,3421,36,1324,2518.75,66725,2113,51525,24375
01.07.2020,09:15:00,09:30:00,1145.75,64225,341,2130,3697,36,1321.5,2485.25,637,2141.75,53425,24375
01.07.2020,09:30:00,09:45:00,1141.5,62025,3335,2221.75,3961.75,36,1319.75,2479.5,639,2168,3965,2435
01.07.2020,09:45:00,10:00:00,1141.75,583,33725,2236,4209.5,36,1320.75,2486.75,6345,2162.75,2845,24375
01.07.2020,10:00:00,10:15:00,1134.5,64225,3445,2278.25,4413.75,36,1322.25,2498.5,6325,2169.25,442,24375
01.07.2020,10:15:00,10:30:00,1130.5,6185,368,2298,4638,36,1321.5,2508.25,632,2159.5,4465,24375
01.07.2020,10:30:00,10:45:00,1132,59725,384,2312.5,4802.75,36,1321.25,2519.5,65875,2162,3455,2435
01.07.2020,10:45:00,11:00:00,1135.5,61475,38975,2379.5,4975,36,1320.25,2540.5,6485,2151.25,31625,2435
01.07.2020,11:00:00,11:15:00,1129,63125,38975,2421,5118,36,1318.25,2561,624,2154.75,3175,242
01.07.2020,11:15:00,11:30:00,1124.5,62925,36075,2501.25,5238,36,1318.25,2577.25,6185,2155.75,26775,2425
01.07.2020,11:30:00,11:45:00,1125,62775,3545,2573.5,5334,36,1317.25,2579.75,6165,2164.75,2025,24225
