Date,Start,End,Biomass [MWh] Original resolutions,Hydropower [MWh] Original resolutions,Wind offshore [MWh] Original resolutions,Wind onshore [MWh] Original resolutions,Photovoltaics [MWh] Original resolutions,Other renewable [MWh] Original resolutions,Nuclear [MWh] Original resolutions,Lignite [MWh] Original resolutions,Hard coal [MWh] Original resolutions,Fossil gas [MWh] Original resolutions,Hydro pumped storage [MWh] Original resolutions,Other conventional [MWh] Original resolutions
01.07.2022,00:00:00,00:15:00,1021.25,4745,32925,3455.25,0,28,991.5,3439.25,,1241.25,74,27475
01.07.2022,00:15:00,00:30:00,1019.25,45425,36475,3389.75,0,28,992.75,3458.75,,1151.25,4375,275
01.07.2022,00:30:00,00:45:00,1012.5,47225,370,3308.25,0,28,992.5,3450.5,,1127.25,24,2745
01.07.2022,00:45:00,01:00:00,1012.25,48025,357,3209.5,0,28,993,3445.25,,1099,305,274
01.07.2022,01:00:00,01:15:00,1010.25,48625,338,3135.75,0,28,994.25,3467.25,2,1142.75,4875,275
01.07.2022,01:15:00,01:30:00,1009,50975,33525,3075.75,0,2775,995.5,3460.75,,1139,10025,27475
01.07.2022,01:30:00,01:45:00,1010.25,507,343,3028,0,2775,996,3465,,1129,7175,27525
01.07.2022,01:45:00,02:00:00,1010.75,482,29175,2990.75,0,2775,996.25,3468.5,,1123.5,7,2745
01.07.2022,02:00:00,02:15:00,1011,49575,28125,2945.25,0,2775,996.25,3484,,1142.75,2675,2745
01.07.2022,02:15:00,02:30:00,1013.5,49575,28575,2883.75,0,2775,996.75,3490,,1162.75,25,275
01.07.2022,02:30:00,02:45:00,1011.25,511,2525,2841,0,2775,997,3502.25,,1141.75,2475,275
01.07.2022,02:45:00,03:00:00,1008.5,51875,21925,2818,0,2775,997.5,3509.25,,1139.25,14,27525
01.07.2022,03:00:00,03:15:00,1009.75,467,28875,2799.75,0,2775,997.5,3527.75,,1122,675,27525
01.07.2022,03:15:00,03:30:00,1008.5,4655,332,2738.75,0,2775,997.5,3516.5,,1113.75,1,27475
01.07.2022,03:30:00,03:45:00,1007.25,458,4675,2678.75,0,2775,997.5,3521.75,2,1141,125,2745
01.07.2022,03:45:00,04:00:00,1007.5,4505,52375,2664,0,2775,997.5,3535.75,2,1138,5,27575
